"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
47,47,81,81,58,0,0,0,0,0,0,75,45,83,40,0,0,0,0,0,76,71,81,53,72,0,0,0,0,0,49,53,84,40,69,0,0,0,0,0,70,62,49,70,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,75,63,49,66,0,0,0,0,0,85,0,51,63,89,0,0,0,0,0,57,73,89,59,63,0,0,0,0,0,41,61,62,87,72,0,0,0,0,0,77,40,83,42,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,63,81,72,41,0,0,0,0,0,58,78,0,52,77,0,0,0,0,0,51,43,70,73,89,0,0,0,0,0,89,63,66,53,48,0,0,0,0,0,68,40,59,63,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,58,72,81,65,0,0,0,0,0,56,42,45,0,86,0,0,0,0,0,78,74,89,65,55,0,0,0,0,0,42,60,61,41,66,0,0,0,0,0,45,64,64,86,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,88,75,64,64,0,0,0,0,0,76,50,50,68,0,4,0,0,0,0,85,58,67,90,49,0,0,0,0,0,60,62,62,60,58,0,0,0,0,0,90,72,81,52,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,52,80,77,42,70,0,0,0,0,5,0,75,69,51,54,0,0,0,0,0,58,80,54,86,82,0,0,0,0,0,67,69,69,54,89,0,0,0,0,0,77,81,67,75,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41,71,87,58,68,0,0,0,0,0,62,0,64,63,73,0,0,0,0,0,42,63,80,85,46,0,0,0,0,0,48,66,54,42,55,0,0,0,0,0,88,63,75,59,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,49,45,68,75,54,0,0,0,0,0,82,51,0,87,43,0,0,0,0,0,52,40,89,64,50,0,0,0,0,0,81,61,61,47,53,0,0,0,0,0,80,48,44,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,56,89,55,64,68,0,0,0,0,0,77,50,82,0,65,0,0,0,0,0,70,58,44,73,70,0,0,0,0,0,49,48,74,55,63,0,0,0,0,0,70,43,70,90,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,66,49,52,89,46,0,0,0,0,0,50,80,53,87,0,0,0,0,0,0,84,49,47,66,50,0,0,0,0,0,71,51,75,48,81,0,0,0,0,0,45,65,79,80,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,67,41,44,43,0,0,0,0,0,68,73,87,44,53,0,0,0,0,0,0,79,57,69,90,0,0,0,0,0,52,63,60,72,72,0,0,0,0,0,58,58,43,44,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,52,63,70,61,0,0,0,0,0,52,49,40,88,47,0,0,0,0,0,70,0,87,64,54,0,0,0,0,0,54,86,64,57,53,0,0,0,0,0,64,73,40,54,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,44,82,43,0,0,0,0,0,47,68,64,56,50,0,0,0,0,0,71,63,0,77,41,0,0,0,0,0,82,58,63,80,83,0,0,0,0,0,42,46,50,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,86,69,77,89,0,0,0,0,0,42,82,60,63,50,0,0,0,0,0,53,54,83,0,58,0,0,0,0,0,48,88,63,66,85,0,0,0,0,0,68,42,86,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,63,66,61,73,0,0,0,0,0,49,60,74,68,87,0,0,0,0,0,62,85,60,40,0,4,0,0,0,0,45,56,67,50,40,0,0,0,0,0,88,90,55,54,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,89,81,45,53,68,0,0,0,0,0,81,89,90,40,71,0,0,0,0,3,0,57,71,48,46,0,0,0,0,0,46,50,62,59,81,0,0,0,0,0,75,76,71,52,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,69,90,82,73,87,0,0,0,0,0,76,53,83,79,42,0,0,0,0,0,68,0,66,90,71,0,0,0,0,0,46,85,41,79,66,0,0,0,0,0,84,64,83,81,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,70,76,68,62,62,0,0,0,0,0,42,89,40,64,53,0,0,0,0,0,76,56,0,53,49,0,0,0,0,0,85,44,66,66,53,0,0,0,0,0,74,87,41,62,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,89,71,85,51,59,0,0,0,0,0,42,85,59,89,58,0,0,0,0,0,49,72,69,0,71,0,0,0,0,0,67,69,85,42,72,0,0,0,0,0,86,51,76,70,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,49,81,51,46,46,0,0,0,0,0,42,62,65,70,44,0,0,0,0,0,88,84,63,88,0,0,0,0,0,0,61,68,49,89,64,0,0,0,0,0,53,78,65,77,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,41,61,53,0,0,0,0,0,60,51,80,74,52,0,0,0,0,0,51,76,86,89,58,0,0,0,0,0,0,73,44,68,72,0,0,0,0,0,67,47,90,63,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,46,88,89,75,0,0,0,0,0,90,44,46,51,68,0,0,0,0,0,64,63,40,58,78,0,0,0,0,0,63,0,84,65,41,0,0,0,0,0,59,80,46,54,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,90,53,85,65,0,0,0,0,0,83,71,63,61,48,0,0,0,0,0,49,84,49,73,60,0,0,0,0,0,84,75,0,73,71,0,0,0,0,0,82,76,49,58,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,75,81,80,78,0,0,0,0,0,85,69,68,55,51,0,0,0,0,0,60,79,84,58,62,0,0,0,0,0,74,90,85,0,47,0,0,0,0,0,67,73,49,86,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,47,56,51,79,0,0,0,0,0,49,80,80,64,74,0,0,0,0,0,90,80,86,73,65,0,0,0,0,0,50,55,72,84,0,7,0,0,0,0,71,88,82,49,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,58,75,46,67,52,0,0,0,0,0,88,66,43,67,48,0,0,0,0,0,90,47,49,65,44,0,0,0,0,8,0,76,50,67,65,0,0,0,0,0,40,65,42,45,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,79,57,84,71,83,0,0,0,0,0,56,72,44,74,57,0,0,0,0,0,82,42,63,74,89,0,0,0,0,0,68,0,86,84,56,0,0,0,0,0,79,52,68,73,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,80,55,86,90,0,0,0,0,0,85,81,66,82,70,0,0,0,0,0,81,66,44,78,45,0,0,0,0,0,45,44,0,70,75,0,0,0,0,0,55,68,83,44,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,43,67,40,74,0,0,0,0,0,79,73,49,89,88,0,0,0,0,0,46,59,46,41,65,0,0,0,0,0,59,68,62,0,67,0,0,0,0,0,90,72,86,75,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,81,90,47,64,54,0,0,0,0,0,51,89,66,45,88,0,0,0,0,0,86,73,48,85,89,0,0,0,0,0,59,41,51,80,0,0,0,0,0,0,49,62,86,71,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,74,82,48,65,0,0,0,0,0,62,79,67,86,76,0,0,0,0,0,64,40,87,49,71,0,0,0,0,0,50,55,90,50,46,0,0,0,0,0,0,84,48,43,65,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,56,43,72,76,0,0,0,0,0,62,51,43,57,81,0,0,0,0,0,46,72,46,72,66,0,0,0,0,0,86,44,67,90,47,0,0,0,0,0,64,0,48,72,43,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,65,66,83,85,0,0,0,0,0,63,50,65,78,47,0,0,0,0,0,52,55,72,41,52,0,0,0,0,0,75,63,52,64,50,0,0,0,0,0,84,78,0,41,50,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,87,78,79,46,0,0,0,0,0,56,65,89,55,65,0,0,0,0,0,52,74,86,50,87,0,0,0,0,0,86,68,73,86,46,0,0,0,0,0,52,87,44,0,82,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,78,86,60,49,0,0,0,0,0,78,81,81,42,59,0,0,0,0,0,63,60,79,68,44,0,0,0,0,0,90,89,48,70,77,0,0,0,0,0,46,46,66,90,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,51,87,63,71,49,0,0,0,0,0,56,62,60,78,41,0,0,0,0,0,62,81,55,63,53,0,0,0,0,0,80,85,69,90,75,0,0,0,0,3,0,59,69,65,50,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,59,53,66,76,87,0,0,0,0,0,88,42,60,77,73,0,0,0,0,0,63,79,66,57,52,0,0,0,0,0,62,42,62,64,43,0,0,0,0,0,70,0,70,59,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,67,89,84,67,88,0,0,0,0,0,55,53,80,68,89,0,0,0,0,0,82,44,81,49,59,0,0,0,0,0,52,44,85,78,83,0,0,0,0,0,90,47,0,79,71,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,63,69,82,80,45,0,0,0,0,0,76,72,43,61,63,0,0,0,0,0,44,75,86,66,63,0,0,0,0,0,59,50,83,45,72,0,0,0,0,0,76,53,82,0,70,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,48,57,54,47,59,0,0,0,0,0,79,72,56,88,68,0,0,0,0,0,50,56,79,47,81,0,0,0,0,0,54,40,58,45,58,0,0,0,0,0,66,73,75,42,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,85,83,58,68,0,0,0,0,0,71,80,45,81,52,0,0,0,0,0,62,70,75,63,68,0,0,0,0,0,59,84,82,64,84,0,0,0,0,0,51,54,56,48,53,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,51,0,54,87,65,0,0,0,0,0,88,57,69,74,41,0,0,0,0,0,41,90,66,50,52,0,0,0,0,0,78,85,87,75,43,0,0,0,0,0,84,59,83,43,61,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,46,73,0,79,62,0,0,0,0,0,62,88,64,55,59,0,0,0,0,0,79,41,53,88,82,0,0,0,0,0,46,57,44,51,50,0,0,0,0,0,49,75,45,65,67,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,46,90,77,0,56,0,0,0,0,0,55,57,83,84,58,0,0,0,0,0,56,78,50,59,41,0,0,0,0,0,57,86,49,49,76,0,0,0,0,0,77,72,42,76,71,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,63,42,76,88,0,7,0,0,0,0,56,73,65,64,63,0,0,0,0,0,47,46,43,47,75,0,0,0,0,0,55,88,78,41,59,0,0,0,0,0,62,43,88,52,66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,60,75,67,50,0,0,0,0,0,51,57,49,56,53,0,0,0,0,0,64,79,54,55,57,0,0,0,0,0,87,51,44,74,60,0,0,0,0,0,72,88,60,60,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,83,0,58,52,54,0,0,0,0,0,51,55,75,77,75,0,0,0,0,0,81,49,67,76,50,0,0,0,0,0,68,72,71,45,53,0,0,0,0,0,78,77,82,52,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,60,76,0,84,75,0,0,0,0,0,90,53,56,79,51,0,0,0,0,0,74,88,87,83,43,0,0,0,0,0,86,74,89,47,59,0,0,0,0,0,62,43,49,73,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,87,88,70,0,73,0,0,0,0,0,47,85,63,88,50,0,0,0,0,0,64,40,84,52,55,0,0,0,0,0,45,79,59,70,82,0,0,0,0,0,87,88,79,65,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,42,90,56,79,0,0,0,0,0,0,58,64,76,72,60,0,0,0,0,0,68,68,51,46,48,0,0,0,0,0,89,47,83,48,59,0,0,0,0,0,56,78,86,43,41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,74,71,87,77,0,0,0,0,0,0,77,48,62,75,0,0,0,0,0,76,77,51,57,76,0,0,0,0,0,52,55,90,45,84,0,0,0,0,0,84,64,89,63,61,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,43,60,84,88,0,0,0,0,0,89,0,45,61,77,0,0,0,0,0,56,87,76,46,40,0,0,0,0,0,68,68,46,54,80,0,0,0,0,0,82,71,78,84,53,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,44,50,86,0,0,0,0,0,61,69,0,90,62,0,0,0,0,0,69,85,49,77,55,0,0,0,0,0,86,78,81,42,58,0,0,0,0,0,85,66,82,44,83,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,85,89,66,59,0,0,0,0,0,77,63,46,0,88,0,0,0,0,0,83,54,47,85,75,0,0,0,0,0,62,51,66,43,41,0,0,0,0,0,76,88,74,81,80,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,85,89,62,0,0,0,0,0,86,47,50,87,0,4,0,0,0,0,49,85,85,45,82,0,0,0,0,0,69,72,87,40,82,0,0,0,0,0,53,75,40,84,54,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,55,71,52,80,0,0,0,0,2,0,74,87,81,71,0,0,0,0,0,84,44,69,46,59,0,0,0,0,0,75,89,55,57,58,0,0,0,0,0,90,86,59,54,50
